Date,Return,mu,q01,q05,RV_hat,VaR_1,ES_1,VaR_5,ES_5,hit_1,hit_5
2012-12-20,-0.87017157175,0.201622542385981,-3.09262653168993,-2.00131253903639,4.01955842971802,-5.99873381088362,-7.48210068423017,-3.81077623552651,-5.16103781250811,0,0
2012-12-21,-0.46004620781,0.201685992580069,-3.09265718694867,-2.0013635714483,3.45479393005371,-5.54665941480975,-6.92189506306075,-3.51826368144214,-4.77005993531208,0,0
2012-12-24,0.16136175436,0.201556193817579,-3.09259447611373,-2.00125917548847,3.00725960731506,-5.16145170157878,-6.44448496385609,-3.26891781814091,-4.43685811068419,0,0
2012-12-26,-1.3781124559,0.202404365089637,-3.09300426067269,-2.00194135190024,2.66141557693481,-4.84347502440952,-6.05072613822392,-3.06353184294603,-4.16205480524241,0,0
2012-12-27,0.40165731152,0.201277833431969,-3.09245998937549,-2.00103529277128,2.49740743637085,-4.68579475434366,-5.85493875107245,-2.96099581281461,-4.02540083926668,0,0
2012-12-28,-1.0621675144,0.201327434699185,-3.09248395367855,-2.00107518661772,2.25942754745483,-4.44710651698751,-5.55916520677928,-2.80656718227593,-3.81897760798671,0,0
2012-12-31,4.4317461987,0.200478138739701,-3.09207362573931,-2.00039210563013,2.19533228874207,-4.38094029496599,-5.47688761103759,-2.76343358415207,-3.761570250645,0,0
2013-01-02,3.16759835,0.201905765909693,-3.0927633679995,-2.00154033313117,2.99058413505554,-5.14650439588904,-6.42608330647176,-3.25941906990959,-4.42402564828766,0,0
2013-01-03,-1.2629728794,0.201533536781687,-3.0925835296177,-2.00124095264132,3.47336363792419,-5.56210272849947,-6.94097871722461,-3.52817168208922,-4.7833704612186,0,0
2013-01-04,-2.78472868,0.20213382681276,-3.09287355309967,-2.0017237604337,3.02961730957031,-5.18125875455934,-6.46923195939492,-3.2820256956725,-4.45414807984427,0,0
2013-01-07,-0.58823529398,0.201227447204641,-3.09243564582764,-2.00099476758858,3.10047745704651,-5.24398664320498,-6.54665035690649,-3.32215869601554,-4.50814971157896,0,0
2013-01-08,0.26913533093,0.200361651115706,-3.09201734603355,-2.00029841569748,2.62853717803955,-4.81265311264549,-6.01183319039007,-3.04267497113447,-4.13489025741792,0,0
2013-01-09,-1.5628866764,0.201169749850262,-3.09240776998971,-2.00094836213313,2.39976787567139,-4.58933608528662,-5.73536770923676,-2.89853621313089,-3.94195182698768,0,0
2013-01-10,1.2396054921,0.199772460614427,-3.0917326851665,-1.9998245351556,2.39629650115967,-4.58622224751301,-5.73103879093664,-2.89595107601554,-3.93893754185212,0,0
2013-01-11,-0.61316880283,0.201669820999213,-3.09264937382843,-2.00135056479344,2.26538825035095,-4.45314069622482,-5.566757244352,-2.8106042946793,-3.82427166335004,0,0
2013-01-14,-3.5652508169,0.200420456569944,-3.09204575723766,-2.00034571238753,2.12563729286194,-4.30764789873532,-5.38604343907495,-2.71599667101517,-3.69817434690261,0,1
2013-01-15,-3.1549576483,0.198574340364939,-3.0911538266338,-2.00253572384456,2.62283158302307,-4.80759827152404,-6.0049597481819,-3.0445640012675,-4.13766459117954,0,1
2013-01-16,4.1508890352,0.198269032635884,-3.09100632058494,-2.01365744923552,3.1260998249054,-5.26687125011044,-6.57397332356312,-3.36203440905578,-4.53621358535471,0,0
2013-01-17,-0.67379319871,0.200192042342922,-3.09193540143292,-2.01529494359397,3.90982222557068,-5.91357543476349,-7.37604919003256,-3.78470514445204,-5.0970915153657,0,0
2013-01-18,-0.53314235702,0.199753835147207,-3.09172368647824,-2.01492179841005,3.07526540756226,-5.22202720783702,-6.51892266817358,-3.33370061212239,-4.4977768697352,0,0
2013-01-22,0.95400000009,0.199704299517688,-3.0916997538873,-2.01487961749251,2.54927587509155,-4.73664325339945,-5.91741756654181,-3.01734355796787,-4.07721937314575,0,0
2013-01-23,1.8295461297,0.200172438608172,-3.09192593010554,-2.01527825048788,2.26795434951782,-4.45618419423062,-5.57002898066805,-2.83478197517841,-3.83432825498526,0,0
2013-01-24,-12.354938181,0.201355132350262,-3.09249733549199,-2.01628534594005,2.31096887588501,-4.49981948170274,-5.62449812223476,-2.86377587818703,-3.87239948981183,1,1
2013-01-25,-2.3573806881,0.196762443137022,-3.18639208420716,-2.01925415388308,4.62519121170044,-6.65597449323338,-8.47551332742305,-4.14589758066134,-5.66818011259448,0,0
2013-01-28,2.2619805401,0.195839476345073,-3.18587175889451,-2.01865879287813,3.62667918205261,-5.87128436522495,-7.48230933155046,-3.6484624344499,-4.99643317799743,0,0
2013-01-29,1.8762643665,0.195333344869609,-3.18558642574872,-2.01830183603883,3.54769539833069,-5.80482282825802,-7.39811018640537,-3.60620414375683,-4.93946545908422,0,0
2013-01-30,-0.31422523844,0.195926024169985,-3.18592055049183,-2.01871983203402,3.33833765983582,-5.6251071209552,-7.17077935902132,-3.49250087372534,-4.785768046724,0,0
2013-01-31,-0.29332574477,0.195171227724973,-3.18549503171948,-2.01818750048305,2.74798345565796,-5.08543749695389,-6.48766808084026,-3.15038681489298,-4.32380919683335,0,0
2013-02-01,-0.41054688363,0.19507974186176,-3.18544345628817,-2.01812297870135,2.48038911819458,-4.8217551601995,-6.15394909173177,-2.9833128226694,-4.09814668375491,0,0
2013-02-04,-2.4919536176,0.195048582750073,-3.18542589024498,-2.01810100326895,2.26526689529419,-4.59927336843451,-5.87238235673574,-2.842355605277,-3.90775128184587,0,0
2013-02-05,3.5106123225,0.194150925227539,-3.1849198331093,-2.0174679167933,2.54892635345459,-4.89068740176346,-6.24100859739789,-3.0268086983528,-4.15701740462954,0,0
2013-02-06,-0.10789701291,0.195324044502159,-3.18558118263851,-2.01829527681474,3.1067042350769,-5.41953207582452,-6.91050724606818,-3.36209199292665,-4.60974083719341,0,0
2013-02-07,2.9733890477,0.196975418089766,-3.18651214947911,-2.01255590174279,2.67228269577026,-5.01205361954073,-6.39513883409308,-3.0929734790913,-4.25925276937564,0,0
2013-02-08,1.443765751,0.197669839926167,-3.18690363188377,-2.01314722056731,3.11625003814697,-5.4281404043764,-6.92183078957151,-3.35611953213034,-4.61531786628436,0,0
2013-02-11,1.0421491432,0.198640771084637,-3.1874509972527,-2.0139739944981,3.13588714599609,-5.44583650901383,-6.94440278575033,-3.36779223900766,-4.63061269401047,0,0
2013-02-12,-2.5066155482,0.19883729232998,-3.18756178669748,-2.01414133761102,2.78907895088196,-5.12456167224614,-6.53786873893877,-3.16488665363226,-4.35576718643977,0,0
2013-02-13,-0.19021158369,0.197602942075646,-3.18686591801877,-2.01309025525277,2.93115925788879,-5.2585118557858,-6.70715231199971,-3.24893413029158,-4.47018737961984,0,0
2013-02-14,-0.089933834352,0.198717168774399,-3.18749406668072,-2.01403904918062,2.64339590072632,-4.98367758615009,-6.35955862450607,-3.07581297507488,-4.23521305456173,0,0
2013-02-15,-1.3780835423,0.198623797894891,-3.18744142856579,-2.01395954137165,2.44051599502564,-4.78084530805698,-6.10285815343938,-2.94761419318547,-4.06166311628584,0,0
2013-02-19,-0.036943671694,0.196813696207966,-3.18642097828048,-2.01241819122156,2.42544174194336,-4.76566409792831,-6.08329756083035,-2.93729214056758,-4.04845112440094,0,0
2013-02-20,-2.4217917781,0.197185755434946,-3.18663072779183,-2.01273500963541,2.16269898414612,-4.48911090609057,-5.73338738942496,-2.76276604378906,-3.81190774804261,0,0
2013-02-21,-0.62158850396,0.196347979408347,-3.18615842903009,-2.01202162087186,2.43899250030518,-4.77956296891333,-6.10079717996313,-2.94588133359034,-4.06028341099303,0,0
2013-02-22,1.0648791642,0.195873097244828,-3.18589071277815,-2.01161724596889,2.29700803756714,-4.63262574186246,-5.91475182564933,-2.85291055937313,-3.93453111727154,0,0
2013-02-25,-1.7768017568,0.196414231770781,-3.18619577899923,-2.01207803653597,2.27821612358093,-4.61275343443838,-5.88970827940669,-2.84056820947698,-3.91759421302006,0,0
2013-02-26,1.3934056007,0.196423314825381,-3.18620089959865,-2.01208577100065,2.32045602798462,-4.6571302555054,-5.94587002660983,-2.86859561693191,-3.95555748725068,0,0
2013-02-27,-0.98002093682,0.196473720180385,-3.18622931576956,-2.01212869251278,2.2655713558197,-4.59937970901127,-5.87279510510242,-2.83214516867433,-3.90616044970852,0,0
2013-02-28,-0.71304856383,0.199363930866657,-3.09153530854219,-2.00297676900697,2.29392981529236,-4.48299038689186,-5.83768505707335,-2.83428957353154,-3.9027771738118,0,0
2013-03-01,-2.4762120524,0.197914440410188,-3.09083500327722,-2.00216712052159,2.49952602386475,-4.68866151070047,-6.10234077911704,-2.96748963029289,-4.08260606420043,0,0
2013-03-04,-2.420610031,0.197479775847234,-3.09062499990632,-2.00192432795716,2.64873719215393,-4.83249431602828,-6.28762738662608,-3.06064034672506,-4.20848843622772,0,0
2013-03-05,2.6411141531,0.196955011197556,-3.09037146567614,-2.00163120777696,2.81664824485779,-4.98957615675286,-6.48996130950683,-3.16235721426855,-4.34594209407292,0,0
2013-03-06,-1.271500937,0.198386592196431,-3.09106311818497,-2.00243085249505,3.00919961929321,-5.1636944347303,-6.71497259825039,-3.27523917064505,-4.49885634303091,0,0
