Date,Return,mu,q01,q05,RV_hat,VaR_1,ES_1,VaR_5,ES_5,hit_1,hit_5
2012-12-20,-0.87017157175,0.201622542385981,-3.07654776700902,-2.01774874445612,4.08940076828003,-6.01985445183171,-7.56863963581213,-3.87872281365235,-5.23435838655018,0,0
2012-12-21,-0.46004620781,0.201685992580069,-3.07657781119401,-2.01779041914727,3.5443012714386,-5.59037623069601,-7.03227056362846,-3.5970697608769,-4.85912490100082,0,0
2012-12-24,0.16136175436,0.201556193817579,-3.07651635042014,-2.01770516608514,3.0688807964325,-5.18795325083642,-6.52961882802071,-3.33310438019757,-4.50746975701443,0,0
2012-12-26,-1.3781124559,0.202404365089637,-3.07691796644291,-2.01826225304623,2.70247006416321,-4.85579990225243,-6.11508835900005,-3.11545553638046,-4.21748263846991,0,0
2012-12-27,0.40165731152,0.201277833431969,-3.07638454450469,-2.01752233633552,2.52911329269409,-4.69115377021892,-5.90904555639,-3.0072254913527,-4.07332521388255,0,0
2012-12-28,-1.0621675144,0.201327434699185,-3.07640803110972,-2.01755491491974,2.28170967102051,-4.44568813968632,-5.60249284066914,-2.84625566123627,-3.85886935924662,0,0
2012-12-31,4.4317461987,0.200478138739701,-3.07600588253827,-2.01699708925326,2.20710444450378,-4.36933670830903,-5.50683471142742,-2.7960386420792,-3.79196322057543,0,0
2013-01-02,3.16759835,0.201905765909693,-3.07668187566007,-2.01793476836111,2.9839072227478,-5.11275135599466,-6.4358256473282,-3.28387268686191,-4.44186402245591,0,0
2013-01-03,-1.2629728794,0.201533536781687,-3.07650562212865,-2.01769028472841,3.47161960601807,-5.53069872760394,-6.95767882438689,-3.55788405259855,-4.80693263976726,0,0
2013-01-04,-2.78472868,0.20213382681276,-3.07678986435982,-2.01808456093204,3.03934621810913,-5.16185572649178,-6.49723919741938,-3.31613845688022,-4.48483662377055,0,0
2013-01-07,-0.58823529398,0.201227447204641,-3.07636068621464,-2.01748924218203,3.10981225967407,-5.22382996257706,-6.57430408689352,-3.35654619471572,-4.53871870716269,0,0
2013-01-08,0.26913533093,0.200361651115706,-3.07595072469717,-2.01692057907354,2.62929463386536,-4.7873231646352,-6.02882221746104,-3.07009520830327,-4.15710843250547,0,0
2013-01-09,-1.5628866764,0.201169749850262,-3.07633336604624,-2.01745134601074,2.38164496421814,-4.54640603857952,-5.72822657942107,-2.91227798971169,-3.94683011462812,0,0
2013-01-10,1.2396054921,0.199772460614427,-3.07567173818398,-2.01653359314667,2.36743211746216,-4.53259816048342,-5.71048245222645,-2.90295928224017,-3.93442533654982,0,0
2013-01-11,-0.61316880283,0.201669820999213,-3.07657015381843,-2.0177797974991,2.23257350921631,-4.39527939752907,-5.5396568108115,-2.8132561516016,-3.81490598939171,0,0
2013-01-14,-3.5652508169,0.200420456569944,-3.0759785695599,-2.01695920305536,2.0810694694519,-4.23695926495595,-5.34148625222872,-2.70922720981917,-3.67629828078479,0,1
2013-01-15,-3.1549576483,0.198574340364939,-3.075104418463,-2.0174065747225,2.57015419006348,-4.73134094556803,-5.95825887008036,-3.035671446852,-4.1153905123578,0,1
2013-01-16,4.1508890352,0.198269032635884,-3.0749598527604,-2.02301815867391,3.05996894836426,-5.18068656943722,-6.51932048355774,-3.34054948166963,-4.50952339261157,0,0
2013-01-17,-0.67379319871,0.200192042342922,-3.07587041355837,-2.0238317063217,3.84248948097229,-5.8292118687049,-7.3299848485742,-3.76697729990579,-5.07780252798755,0,0
2013-01-18,-0.53314235702,0.199753835147207,-3.07566291887317,-2.02364631857664,3.0727014541626,-5.19161345815894,-6.53351934115255,-3.34752064289952,-4.5195326919852,0,0
2013-01-22,0.95400000009,0.199704299517688,-3.07563946334812,-2.02362536205482,2.54679465293884,-4.70861027983673,-5.93027926840347,-3.02973464678601,-4.0967270669907,0,0
2013-01-23,1.8295461297,0.200172438608172,-3.0758611310299,-2.02382341277423,2.26509857177734,-4.42907374456614,-5.58133277020717,-2.84573126441984,-3.85215071951795,0,0
2013-01-24,-12.354938181,0.201355132350262,-3.07642114617367,-2.02432376267283,2.29840064048767,-4.46264608252275,-5.6236820566527,-2.86761625999155,-3.88182631715334,1,1
2013-01-25,-2.3573806881,0.196762443137022,-3.196380848818,-2.0439944930535,4.87204647064209,-6.85851718060067,-8.72657800603199,-4.31488788263851,-5.8524445700899,0,0
2013-01-28,2.2619805401,0.195839476345073,-3.19591242898074,-2.04352575524347,3.78102469444275,-6.01856658705146,-7.66393816074859,-3.77776716222673,-5.13200122741426,0,0
2013-01-29,1.8762643665,0.195333344869609,-3.19565555947532,-2.04326871136989,3.71119022369385,-5.96092123457553,-7.59087062846389,-3.74091138717314,-5.08243453738376,0,0
2013-01-30,-0.31422523844,0.195926024169985,-3.19595635333253,-2.04356970941199,3.45249366760254,-5.74244440511096,-7.31473498356634,-3.60120778834043,-4.89529495281764,0,0
2013-01-31,-0.29332574477,0.195171227724973,-3.19557328253191,-2.04318637857524,2.8003523349762,-5.15238204703071,-6.56821001642339,-3.22394861202702,-4.38923510996768,0,0
2013-02-01,-0.41054688363,0.19507974186176,-3.19552685204976,-2.04313991657515,2.5015242099762,-4.85903184780213,-6.19716386614528,-3.03639275383755,-4.13772957688441,0,0
2013-02-04,-2.4919536176,0.195048582750073,-3.19551103832152,-2.04312409211224,2.27715444564819,-4.62705533898335,-5.9037595245973,-2.88807539304361,-3.93885377472777,0,0
2013-02-05,3.5106123225,0.194150925227539,-3.19505546332761,-2.0426682078649,2.5608983039856,-4.91883465338378,-6.27251523134117,-3.07469157487216,-4.18879867821183,0,0
2013-02-06,-0.10789701291,0.195324044502159,-3.19565083939585,-2.04326398808633,3.11873030662537,-5.44817209120519,-6.94236151034948,-3.413065294796,-4.64285145943399,0,0
2013-02-07,2.9733890477,0.196975418089766,-3.19648893688094,-2.02247088266834,2.67155885696411,-5.02765505245819,-6.41101509238284,-3.10873381727388,-4.2811978014129,0,0
2013-02-08,1.443765751,0.197669839926167,-3.19684136663945,-2.02276466446753,3.10991811752319,-5.43994710057692,-6.93268841210504,-3.36946754075679,-4.6347587422213,0,0
2013-02-11,1.0421491432,0.198640771084637,-3.19733412913015,-2.02317542617988,3.10284042358398,-5.43342533726513,-6.92474172147285,-3.36515872213059,-4.62941155866835,0,0
2013-02-12,-2.5066155482,0.19883729232998,-3.19743386668362,-2.02325856637221,2.78748273849487,-5.13952032617023,-6.55307415591234,-3.17914587552567,-4.37750856169657,0,0
2013-02-13,-0.19021158369,0.197602942075646,-3.19680741495177,-2.02273636269207,2.9391782283783,-5.2830138231322,-6.73418125689933,-3.2701826896506,-4.50022329338214,0,0
2013-02-14,-0.089933834352,0.198717168774399,-3.1973729021323,-2.02320774695318,2.62219858169556,-4.97885402159127,-6.34982781000638,-3.07750442419761,-4.23974993725381,0,0
