"Date","Returns","Sigma2_GARCH","Sigma2_MSGARCH","Sigma2_GAS","RV_AMZN"
2003-01-02,3.5997899797,7.97041344904135,5.74478001802626,6.61986645578102,10.3026637928448
2003-01-03,4.8543729063,8.02460342166179,5.83565078039573,7.18108677923131,6.79526499343478
2003-01-06,0.87719445019,8.2494636520653,7.93009202363366,8.07729446244295,7.11956050118463
2003-01-07,4.1062726705,8.105585722957,5.64113808870435,7.70732213507291,11.7349480794393
2003-01-08,-2.4593911743,8.21963232006454,6.60366962718827,8.42092371460631,5.46679863043331
2003-01-09,2.0456721968,8.18109501727545,6.04161280898918,8.58379716825872,3.95216400898468
2003-01-10,-0.60606556399,8.09053156800308,5.82638952340305,8.53656707270913,8.50344454989824
2003-01-13,3.3771164681,7.95080476933712,5.68630472185602,8.10870833850358,6.00936995373347
2003-01-14,3.1760382328,7.98045969301308,6.15331128064472,8.58151974678862,7.03230360885787
2003-01-15,-2.0668395694,7.98826618457677,6.20350301970662,8.96833060058459,5.26269926711871
2003-01-16,-2.1104679437,7.92350953888661,5.98514862071346,8.95208954110301,9.59523003313375
2003-01-17,-1.8348606998,7.86355605769486,5.97976674253858,8.9535403784073,4.7820897048169
2003-01-21,-1.4953257032,7.78545142637796,5.93231256812969,8.85060176158834,10.1579309450667
2003-01-22,0.42694569693,7.68859099662501,5.8714411092963,8.63411088395074,7.86584723157633
2003-01-23,2.9286766037,7.55031983067622,5.75581490432978,8.16039705749082,9.37421223794847
2003-01-24,1.468562099,7.54417152059154,6.03653818919592,8.46802979693978,11.9213343248434
2003-01-27,-1.4925369273,7.4374475707732,5.81192222460287,8.22851580336556,10.799874359113
2003-01-28,-0.73461819266,7.34868326315336,5.80304518834579,8.04833115913721,6.98080476111936
2003-01-29,2.1276552572,7.23005216156655,5.7143404672101,7.67490669112173,5.19491646049978
2003-01-30,-1.1775372725,7.16738028112322,5.78936009479563,7.70619961706803,4.23344742753351
2003-01-31,0.13749169157,7.06938909585995,5.70352260819197,7.46126936853995,5.89266808407993
2003-02-03,1.4187618332,6.94444615642745,5.61124987257696,7.04407151545263,3.938791633396
2003-02-04,-0.49639264944,6.84976509704417,5.61178800505638,6.87483389080343,4.29735062947993
2003-02-05,0.54422151206,6.73689405472315,5.54185663616854,6.53366290345523,5.45586934642363
2003-02-06,-0.36084764752,6.62253001755817,5.48825928066541,6.20428681371653,5.59997232388745
2003-02-07,-2.9425061748,6.51244389787461,5.44441228723456,5.8872249784022,6.71196352197962
2003-02-10,-0.18657142982,6.56049237910856,5.88672598243823,6.29545858745994,8.1085063909169
2003-02-11,-2.8971913221,6.44943789197261,5.48686415835818,5.95755141725552,5.23756673158392
2003-02-12,1.6843044397,6.49432133149842,5.89378535290851,6.35140465477881,5.00228885672851
2003-02-13,-5.0638889604,6.42286106050979,5.59970591301769,6.30283838080107,8.54628538286559
2003-02-18,6.6301094672,6.76825389783957,8.54103887456362,7.21771623780769,5.39010544998248
2003-02-19,-0.93501103938,6.65079320695594,5.88614015052965,6.81530272623349,2.22383499735001
2003-02-20,0.80226555929,7.24190389017411,12.092030944459,7.9910298376431,3.50462073448305
2003-02-21,1.9662924358,7.13238219904816,6.54885310724987,7.66520137463601,3.62037929935451
2003-02-25,0.4591298024,7.01323302156977,6.18474556262269,7.30629529006513,4.55813314112199
2003-02-26,-1.0968911349,6.94539095349664,6.20869530232847,7.29968131063534,2.35903941264381
2003-02-27,-0.092414745814,6.82373126513359,6.07521349365933,6.89216774350951,8.0275504398263
2003-02-28,1.8038823984,6.70628521867852,6.00947233608054,6.53081219231576,4.97269165711634
2003-03-03,-0.90868133057,6.61575836226291,5.99296323266166,6.33485920543912,5.7920802119114
2003-03-04,2.1091288541,6.50250024172514,5.90461939556656,5.9895731095713,3.44891245859492
2003-03-05,0.67355013671,6.43727065420025,5.93558207443528,5.99786873979099,4.33192192277209
2003-03-06,1.2042839289,6.34588140398994,5.85628151198955,5.78767108631124,5.53975712421335
2003-03-07,1.2340183899,6.30294050834896,5.91553443272744,5.90294957702769,4.09922176701374
2003-03-10,-0.39181608736,6.20088426922243,5.77969685797264,5.63044375642699,3.8141030309748
2003-03-11,-0.43705628404,6.11541972847347,5.75061052097394,5.48526719661174,2.29875704939371
2003-03-12,2.5460926525,6.03305478288833,5.71278658780576,5.35610562450705,4.71801819378409
2003-03-13,4.5376688282,5.93748211109082,5.64439411664392,5.09407486812119,4.40526636850975
2003-03-14,1.1875471222,5.84502176964202,5.59594975818379,4.85331957609031,6.11347741508976
2003-03-17,7.446378878,5.84598793014661,5.77632433297603,5.13202026459198,11.0070770003552
2003-03-18,0.86629550369,6.07409942645094,7.16309385613509,5.86186761130774,4.94568059251877
2003-03-19,-0.89619030987,5.99104900025632,5.86087355184332,5.69890333144297,2.90036266376662
2003-03-20,3.4287860439,6.78669164264768,15.1784757988825,6.81951746137169,5.38711429260552
2003-03-21,1.7486321636,6.67722195366019,6.79014040224316,6.52536628364537,6.65159800791022
2003-03-24,-6.0866478496,6.57970632026236,6.34122933923263,6.28051132961126,5.02088367928939
2003-03-25,2.5543274418,6.6475155942991,6.71806991530749,6.79297059628449,3.67374198510527
2003-03-26,3.1970283368,6.57582037733901,6.40327687488452,6.74081543919711,4.30412395401116
2003-03-27,0.036023878965,7.11388174780734,10.5923612628996,7.8521210058221,3.9900913442303
2003-03-28,-2.1245954011,7.08543506595748,7.27832000868763,8.03195112631904,4.88265357620078
2003-03-31,-4.2310507933,7.11660182648269,7.12289094759837,8.44220965256034,4.76630641872
2003-04-01,-1.8824424057,6.99073217576197,6.73429421372194,7.96263914498746,5.84118981125374
2003-04-02,3.288951508,6.95396194447896,6.81109991222327,8.02076575340737,3.11016388143876
2003-04-03,1.0235044214,7.15285519530425,7.71496588846939,8.80837422910252,4.53504907002925
2003-04-04,-1.6135096111,7.09479453966647,6.98532264832485,8.7312733518374,3.29327866633199
2003-04-07,2.2883310343,7.13530249169108,7.16397929427999,9.1563173461288,3.38115297018378
2003-04-08,-1.1185654007,7.021798657892,6.83238038487562,8.75074573583106,2.61311293057763
2003-04-09,-5.5052826796,6.94977435055634,6.81794668389729,8.5803772579732,8.65301216776789
2003-04-10,2.4341605082,6.90488065794798,6.83217393870657,8.62493061005794,7.22335783160049
2003-04-11,0.31164753982,6.81055615798304,6.70477087882471,8.30704058033202,5.05863143180898
2003-04-14,-2.7184495648,7.22716765314946,9.21768204821502,9.42841046551522,3.58162010218851
2003-04-15,0.31936098258,7.18655394487174,7.29856072254795,9.4866951701741,4.81219005973456
2003-04-16,-2.9844807999,7.0593088263777,6.91440632342079,8.94923736967002,6.6443868948609
2003-04-17,2.5020534509,7.07203193589101,7.11263577948805,9.19047949707026,2.76853249230335
2003-04-21,1.0404170918,6.94754612555642,6.83921260975252,8.67245283238945,8.2445148834764
2003-04-22,1.306930391,6.98965727737876,7.12612722672887,9.02779749446494,4.37920417728793
2003-04-23,-0.58639413219,6.95997114680558,6.99612735443335,9.13328028586603,6.83235332859841
2003-04-24,-1.2190305239,6.85112794878061,6.80019273950756,8.73320198304308,6.83891633929111
2003-04-25,15.326426534,6.75408154836193,6.73578785270709,8.42887110023115,6.49817230357273
2003-04-28,0.48326303186,6.64554679250377,6.64508892810356,8.00450950653351,2.79433266263138
2003-04-29,-0.75575821402,6.56179381551437,6.61079802311257,7.75323595916622,4.384869318483
2003-04-30,-0.69227711947,10.3173909968284,29.4753372155319,9.55495455321647,3.83483338226639
2003-05-01,-0.1045684422,10.1173940715642,10.654218099112,9.02852367740048,2.94254084309873
2003-05-02,2.6866729304,9.93376161553607,9.33299836366959,8.59760589739415,3.9352519248638
2003-05-05,1.8008792858,9.75263431656956,9.1149910317782,8.18141837142784,4.9777420786389
2003-05-06,3.0707613631,9.56511581276946,8.95101619399909,7.72177270098662,4.43449269186505
2003-05-07,-0.58289638182,9.48956647535264,8.98708895079942,7.95592722523155,4.28333347554032
2003-05-08,-0.81433222731,9.35336187397832,8.82096785123158,7.85623351535466,2.55239149360124
2003-05-09,1.6912951616,9.31809426826886,8.89911600127284,8.22585332883017,2.46765356838602
2003-05-12,2.3736496261,9.14869466653981,8.62662545653566,7.81370483754623,4.49598816488067
2003-05-13,3.9432175707,8.98984997971015,8.49773277825363,7.47143628961391,6.32143429644277
2003-05-14,-1.0622223997,8.85959609785938,8.41590818940335,7.36247654598327,3.31490574543546
2003-05-15,0.092032501198,8.77569494762361,8.39666749034764,7.49775625832356,3.26358243599523
2003-05-16,1.2871534023,8.85261547318119,8.72558559667197,8.16167471998613,4.9956213568561
2003-05-19,-4.5083201378,8.70978746941054,8.30524353016422,7.8573206858027,3.00119198688702
2003-05-20,-0.25348518711,8.54600272116608,8.13821259958543,7.41465760182689,4.64381913024365
2003-05-21,0.8576888873,8.40801383880977,8.04654087061956,7.1855084804848,5.7417303577622
2003-05-22,3.9370078741,8.61443553535191,8.88438101394146,8.02804476128495,5.86916993834422
2003-05-23,-0.84848114939,8.45550863561552,8.10647369954474,7.5874419716872,3.04601317877223
2003-05-27,6.5097713141,8.3062723759901,7.96201753586474,7.24409945364988,10.5523053822554
2003-05-28,0.028700535586,8.39352916506026,8.38139853983011,7.90492957890661,4.34099320495197
2003-05-29,1.9793419811,8.25370261027129,7.94926721216437,7.56445296659209,4.48234180858874
