Date,Return,mu,q01,q05,RV_hat,VaR_1,ES_1,VaR_5,ES_5,hit_1,hit_5
2012-12-20,-0.87017157175,0.201622542385981,-3.07852957065302,-2.01261064301329,3.93885254859924,-5.90819429762524,-7.41225300362222,-3.79271375254199,-5.11734958325355,0,0
2012-12-21,-0.46004620781,0.201685992580069,-3.07856761105426,-2.01266196494829,3.38442492485046,-5.46189529701918,-6.85609389207762,-3.50096929621044,-4.72882602253964,0,0
2012-12-24,0.16136175436,0.201556193817579,-3.07848979258457,-2.012556976717,2.94842410087585,-5.08451118054884,-6.38579648876944,-3.25420052147288,-4.40027618335281,0,0
2012-12-26,-1.3781124559,0.202404365089637,-3.07899829812931,-2.01309862202012,2.60769629478455,-4.76967387246886,-5.99354707954226,-3.0484203770632,-4.12626585701236,0,0
2012-12-27,0.40165731152,0.201277833431969,-3.0783229067159,-2.012331823842,2.4609260559082,-4.62779167224873,-5.81661375674453,-2.95553532110273,-4.00265327858634,0,0
2012-12-28,-1.0621675144,0.201327434699185,-3.07835264424679,-2.01237194401892,2.23615097999573,-4.40196887448782,-5.53520371906971,-2.8079263491149,-3.80606734962772,0,0
2012-12-31,4.4317461987,0.200478138739701,-3.07784346441631,-2.01168498769578,2.18313050270081,-4.34716499615247,-5.46680599242216,-2.77187101729357,-3.75830184889972,0,0
2013-01-02,3.16759835,0.201905765909693,-3.07869937212703,-2.0128207989587,2.97526788711548,-5.10853196225519,-6.41576527235786,-3.27000175698703,-4.42122256613734,0,0
2013-01-03,-1.2629728794,0.201533536781687,-3.07847620897385,-2.01253865048585,3.45861172676086,-5.52361431057694,-6.93299281602699,-3.54125365415644,-4.78253862916967,0,0
2013-01-04,-2.78472868,0.20213382681276,-3.0788361018626,-2.01294787613979,3.02983784675598,-5.15702049924314,-6.47621225348289,-3.30168968364087,-4.46345955572123,0,0
2013-01-07,-0.58823529398,0.201227447204641,-3.07829269857655,-2.01229106874706,3.10173726081848,-5.22018459150822,-6.55483732796452,-3.34276920735143,-4.51835383677696,0,0
2013-01-08,0.26913533093,0.200361651115706,-3.0777736263958,-2.01159076623037,2.64274048805237,-4.80302347325933,-6.034885393992,-3.06978246532259,-4.15512236218969,0,0
2013-01-09,-1.5628866764,0.201169749850262,-3.07825810718495,-2.01224440001871,2.4249370098114,-4.59235818775615,-5.7724449600481,-2.93233933643059,-3.97179850013419,0,0
2013-01-10,1.2396054921,0.199772460614427,-3.07742038802676,-2.01111419721356,2.42799735069275,-4.59547397222771,-5.77616910790013,-2.93395220623556,-3.97440381280593,0,0
2013-01-11,-0.61316880283,0.201669820999213,-3.07855791567927,-2.01264888450254,2.30045485496521,-4.46765606492295,-5.61710180932477,-2.85096514416321,-3.86327563180272,0,0
2013-01-14,-3.5652508169,0.200420456569944,-3.07780888212837,-2.01163833124957,2.15780758857727,-4.32072007669815,-5.43384327904948,-2.75457120990381,-3.73527747675282,0,1
2013-01-15,-3.1549576483,0.198574340364939,-3.07670207698487,-2.01308150391065,2.65910863876343,-4.81853406715914,-6.05402282187446,-3.08411208346946,-4.17571787241786,0,1
2013-01-16,4.1508890352,0.198269032635884,-3.0765190353302,-2.02404157512144,3.15600991249084,-5.26721696296691,-6.6131671889418,-3.39747367407445,-4.56734430768412,0,0
2013-01-17,-0.67379319871,0.200192042342922,-3.07767194056389,-2.02485560695627,3.91896104812622,-5.89247995849555,-7.39255909371229,-3.80828621670859,-5.11280619030894,0,0
2013-01-18,-0.53314235702,0.199753835147207,-3.07740922146917,-2.02467010887674,3.09278607368469,-5.21227611582614,-6.544839707289,-3.36089555578762,-4.5195998863647,0,0
2013-01-22,0.95400000009,0.199704299517688,-3.07737952329015,-2.02464913988255,2.57358884811401,-4.73715378014757,-5.95272612642322,-3.04832064802924,-4.10528328051543,0,0
2013-01-23,1.8295461297,0.200172438608172,-3.07766018750393,-2.02484730847285,2.2942955493927,-4.46153857952564,-5.60930278405884,-2.86685005018776,-3.8649796117821,0,0
2013-01-24,-12.354938181,0.201355132350262,-3.07836924986598,-2.02534795615725,2.340247631073,-4.50789348910188,-5.667207961133,-2.89699542157035,-3.90549439416029,1,1
2013-01-25,-2.3573806881,0.196762443137022,-3.16947317109994,-2.02414803120459,4.76692199707031,-6.72323768735474,-8.61267815565557,-4.22261701960483,-5.76682048593585,0,0
2013-01-28,2.2619805401,0.195839476345073,-3.16895999365106,-2.02370198675976,3.66150951385498,-5.8679880473894,-7.52373417196338,-3.67652869230817,-5.02958617525754,0,0
2013-01-29,1.8762643665,0.195333344869609,-3.16867858021166,-2.02345738734951,3.56541919708252,-5.78786620229345,-7.42163746636013,-3.62542316836584,-4.96044073427593,0,0
