"Date","Returns","Sigma2_GARCH","Sigma2_GAS","Sigma2_MSGARCH","RV_APPLE"
2003-01-02,3.2798344,5.68214119263991,4.99827593197567,4.95509745865996,8.30819857474863
2003-01-03,0.67567180067,5.87152420984847,5.48235173349746,5.02481584648293,6.56815955571579
2003-01-06,0,5.61079102349269,5.12190745749378,3.67305378108892,7.34441750201115
2003-01-07,-0.335565358,5.35584615354739,4.76926333066454,2.92351471478097,10.0133315272139
2003-01-08,-2.0202032527,5.12689365042157,4.47643328207525,2.60704121423755,6.09821234463799
2003-01-09,0.89347156536,5.13155680199082,4.6696132581227,3.03752874140046,5.54782472639613
2003-01-10,0.27247929847,4.92414024887608,4.40650240714521,2.70660914808171,7.43397305828808
2003-01-13,-0.61141406904,4.70578082866397,4.1073145408607,2.45946858073815,6.98257126136521
2003-01-14,-0.13670852777,4.53076492104828,3.91248114388759,2.37950021868074,5.02523397378693
2003-01-15,-1.2320284444,4.33953517512406,3.66678938829359,2.27613501377265,5.58810820322485
2003-01-16,1.3166983808,4.25118923034533,3.65678726520808,2.34609195508198,7.59314012823281
2003-01-17,-3.5567681816,4.12918787490683,3.56074566336138,2.33297869654308,5.62562180349154
2003-01-21,-0.56737533005,4.62609620466705,4.2696859674284,3.51822312323371,3.83356717122418
2003-01-22,-0.99857588266,4.45221195428136,4.05372087240838,3.08913378364669,4.2102652745246
2003-01-23,2.0893368837,4.32836797342545,3.95096120906761,2.9519074488464,6.20765393933032
2003-01-24,-2.6111494959,4.31230576461505,4.05878804606312,3.18365299632407,8.46380099010675
2003-01-27,2.3913037619,4.50374861120459,4.48052853720721,4.09756456212002,10.0944724155161
2003-01-28,3.1847120001,4.53641359821465,4.65868070993476,4.50976017658662,6.40863567364652
2003-01-29,2.4005513258,4.76227062736976,5.11874064327332,5.46135837031211,6.8096040150006
2003-01-30,-4.0857374272,4.78245231501708,5.25937797780758,5.61298155574364,6.69190974315928
2003-01-31,0.27932934863,5.44517057573758,6.18179301854177,7.12904338645344,10.2569496496489
2003-02-03,2.0891378685,5.19781388472115,5.73605722984559,6.13132555426476,6.47132931700972
2003-02-04,-0.40927330538,5.13324738849017,5.71668177269613,5.94916262132977,8.5914673057239
2003-02-05,-1.0274011527,4.92072493295236,5.35603254263211,5.14796389298335,10.2402310453309
2003-02-06,-0.13840487436,4.7740902062239,5.15777764181492,4.72669451778475,6.51455578494943
2003-02-07,-1.9404066578,4.56935059939905,4.81165205249068,4.06495091349446,4.27754778031248
2003-02-10,1.4134329918,4.58854869535143,4.95487033606318,4.34187643778645,8.01759384527513
2003-02-11,0,4.45843623387386,4.78191192486095,4.05926377759807,7.03190139402212
2003-02-12,0.27874537136,4.2677311373657,4.45710196684854,3.56159356437769,4.18618765852803
2003-02-13,1.0423878732,4.08600830523144,4.1539498391893,3.19674470567103,4.73284513909323
2003-02-14,0.89408607146,3.94772221904921,3.9590203687766,3.02533426026185,5.35237188217689
2003-02-18,4.0899821292,3.8063407493073,3.75286867468063,2.87060247265515,4.95547048091541
2003-02-19,-2.7504915764,4.36847335573695,4.50248927816908,3.87185915472136,4.2100594485141
2003-02-20,-0.53872001108,4.59495445309245,4.9596377703981,4.66616525647113,4.89320532022969
2003-02-21,1.5572074144,4.42075114712847,4.68278251856233,4.13864464554965,3.85318980354505
2003-02-24,-1.7333333333,4.31753237715503,4.57119709952253,3.9585128131963,3.85997448198074
2003-02-25,1.89959605,4.31065360115199,4.65671590957841,4.09854209322457,4.21858944090512
2003-02-26,-3.4620535414,4.26325102641366,4.65284555592962,4.09875057485972,3.79694577287712
2003-02-27,2.4827562529,4.71928288354749,5.35714568097203,5.31183213899608,5.77858118501789
2003-02-28,1.0094251391,4.75936048952007,5.51318272170496,5.4911774645438,4.82699580029661
2003-03-03,-2.3984050957,4.58095524705052,5.20147969361437,4.89818184926776,4.25687880031534
2003-03-04,-0.61432901884,4.70270481074627,5.49470179153499,5.32635450052878,3.40972502838444
2003-03-05,0.41208423227,4.52808600671958,5.18785477630725,4.77591076207332,4.88686194627741
2003-03-06,-0.41039306707,4.3336714196462,4.82976585817744,4.19808149537596,5.92743244751658
2003-03-07,-0.20604866613,4.16578761166443,4.54253265662378,3.8020880767942,6.39646319933814
2003-03-10,-1.1011689632,3.99736197436794,4.25294900758681,3.4705159380887,3.70184166190886
2003-03-11,-0.97425431059,3.91107595071561,4.16237802238555,3.39649989154637,3.95818293365926
2003-03-12,-0.070268977652,3.81465246704373,4.04494911153464,3.29984647040265,6.35003598820731
2003-03-13,3.5161743363,3.66141707687508,3.78365505015822,3.08718759882137,5.94160224887175
2003-03-14,0.40760506017,4.03523931638166,4.36903655452739,3.7601313495493,6.83648977020346
2003-03-17,1.5561603523,3.86821058373183,4.07738629785794,3.41508441404317,7.69859684552373
2003-03-18,-0.066623775729,3.79565919335655,4.01206931537217,3.3610807306368,5.10646138212561
2003-03-19,-0.33333460487,3.64338905817198,3.75313508211126,3.12983920887502,5.26921517550759
2003-03-20,-0.26755827676,3.5097864413802,3.54127515407369,2.97946612168939,5.65460181748032
2003-03-21,0.60362275999,3.3804933493835,3.3378381244369,2.85865329662127,5.63658288545298
2003-03-24,-4.200000763,3.25562728382718,3.14198864529851,2.7591845720069,3.87899233427323
2003-03-25,1.2526117371,4.05063643356306,3.96575294996266,3.65172609712746,5.14536204508111
2003-03-26,-0.96220165969,3.93321915390664,3.83074349418123,3.46506364337669,4.28873328602635
2003-03-27,0.55516949724,3.83422132684887,3.73575007450736,3.34731438333291,4.69251594096395
