"Date","Return","Vol_HAR","VaR_HAR_1","ES_HAR_1","VaR_HAR_5","ES_HAR_5","RV_APPLE"
2013-03-28,-2.0837019996,1.34688242806717,-3.42476802871157,-4.88639936948921,-2.30561260966711,-3.76649810712941,1.21310841228917
2013-04-01,-3.1062214793,1.36102221317628,-3.46291769765252,-4.92915012210222,-2.33215589207533,-3.7919792502919,1.64530085379291
2013-04-02,0.20563754624,1.33927340106276,-3.40565148109532,-4.85515918149789,-2.29679447477902,-3.74924322766416,3.44311961160212
2013-04-03,0.51141017047,1.38235053897029,-3.52111249489076,-4.95091854491203,-2.37663669238299,-3.83604525596413,2.08260372529167
2013-04-04,-0.98844880677,1.54681266310335,-3.96406817090081,-5.49142701513478,-2.68321354770504,-4.22691347731831,2.25346715272088
2013-04-05,-1.0567661086,1.51173090111791,-3.87092215727505,-5.3518670321099,-2.61864582822277,-4.14290036544533,1.45293005590137
2013-04-08,0.7112476369,1.55954501234132,-4.00008413970594,-5.55976791273977,-2.70808203897107,-4.24144488347109,1.26828504298787
2013-04-09,0.18066211487,1.51876395925844,-3.89109643876305,-5.39704593066735,-2.632639760903,-4.16339968314189,1.06100442778859
2013-04-10,2.0399081925,1.49208217992402,-3.82005476176428,-5.3084612043625,-2.58347400284513,-4.12259595002018,1.4609695548866
2013-04-11,-0.31214854598,1.38663892817688,-3.53761051569987,-4.96174654325455,-2.38840649408966,-3.86286544621587,1.36189613398917
2013-04-12,-1.0429857482,1.38632749926551,-3.53835554071166,-4.96174654325455,-2.38919847476019,-3.86286544621587,0.798891872760802
2013-04-15,-2.3150302466,1.34194683411705,-3.4195206725651,-4.88639936948921,-2.30712195252575,-3.76422129117138,1.27432305812695
2013-04-16,1.521972133,1.2723730171794,-3.23323102026843,-4.75422496623158,-2.18381250936499,-3.62149211945844,1.52345583648842
2013-04-17,-5.4992492494,1.30344682108413,-3.31665885314346,-4.81462380278699,-2.24161739776901,-3.70066597593102,5.83968050607083
2013-04-18,-2.668818272,1.33992519020678,-3.44306537778311,-4.91184951891957,-2.32117849383051,-3.78534821828646,3.45480784102987
2013-04-19,-0.38770564979,1.74965064367145,-4.5511045588438,-6.28850226950175,-3.08615236294603,-4.64152192617818,4.95068047257023
2013-04-22,2.0843469132,1.69675819545468,-4.40715860656103,-6.08974967811406,-2.98692412990088,-4.57629373426395,2.69062642649697
2013-04-23,1.8712218125,1.89987526076842,-4.95677766720168,-6.69485145269111,-3.3662449992087,-4.82948277329726,3.25589038925023
2013-04-24,-0.16447935386,1.83650357647504,-4.78607410298391,-6.512782527972,-3.24849359980024,-4.76905478647697,10.4717607781749
2013-04-25,0.71967286694,1.91672367062471,-5.00197659834396,-6.73426210375455,-3.39812172731545,-4.8573989120028,2.67907163493965
2013-04-26,2.1609775209,2.34602032303469,-6.16407828968976,-8.096244613,-4.20143224316239,-5.85061588216487,1.79869941969327
2013-04-29,3.0956004841,2.01248800359822,-5.26328462001014,-7.03752423250541,-3.57881325987984,-5.01965848006641,1.86801351431909
2013-04-30,2.9433646425,1.88556836699418,-4.92010959633267,-6.65689227720217,-3.3415334863361,-4.8371109419469,2.7475562515582
2013-05-01,-0.78820181579,1.86579501745678,-4.86690012688484,-6.58355789506458,-3.3046578527718,-4.79626576740201,2.86133887893875
2013-05-02,1.4181975461,1.89459510026808,-4.94464955804218,-6.65689227720217,-3.3582903802175,-4.8371109419469,1.62311937113435
2013-05-03,1.0010773927,1.66836534736373,-4.33287734559621,-5.98962869361912,-2.93569576207714,-4.55183830521609,0.778748061602464
2013-05-06,2.3845504244,1.56191653495133,-4.04439009490927,-5.61243226573256,-2.73603350001927,-4.30006907218039,1.19570585828853
2013-05-07,-0.44539949213,1.47335019671761,-3.80494632871431,-5.29608571297642,-2.57060722393587,-4.11463996866087,1.71959700159234
2013-05-08,1.1298178599,1.47141557144834,-3.79923285369547,-5.28213124093551,-2.56632367585419,-4.10699952367792,1.15859345095962
2013-05-09,-0.87241476594,1.46484738387141,-3.78179483843343,-5.25475205088532,-2.55427402741944,-4.08715726983333,1.91978680116531
2013-05-10,-0.83192854172,1.36382537504451,-3.50822155281945,-4.96427080754586,-2.36541183406188,-3.81295296222456,1.69310101067856
2013-05-13,0.3907543547,1.42523224922023,-3.67486613156878,-5.13867316449746,-2.48061513198086,-3.98062962267052,1.57154423070984
2013-05-14,-2.3925759777,1.44638083531936,-3.73236983411017,-5.20218226459911,-2.52031536093589,-4.06008550650168,2.00562501859502
2013-05-15,-3.3816969313,1.453588273909,-3.75193812045504,-5.20218226459911,-2.53383706548763,-4.07964019139617,3.84275772214992
2013-05-16,1.3356651509,1.49282967539402,-3.85810932708369,-5.33884023494369,-2.61581521194028,-4.15731115365893,3.57935762801914
