"Date","Return","Vol_HAR","VaR_HAR_1","ES_HAR_1","VaR_HAR_5","ES_HAR_5","RV_AMZN"
2012-12-06,-0.23232005042,1.50760677409963,-4.03089046841038,-6.33174395614753,-2.41961034382235,-4.20077541662195,2.19956799889636
2012-12-07,-0.040217863261,1.55723723980193,-4.16851343989383,-6.5253337455914,-2.50445588200477,-4.33741812251917,1.49643964635931
2012-12-10,-2.1708616284,1.522659324396,-4.07364064495265,-6.42556706741649,-2.4464804798495,-4.21936230486725,1.82358939317116
2012-12-11,1.1785123299,1.4680237402262,-3.92296814055932,-6.17918219961759,-2.35417896681625,-4.11113241565464,2.70640283727327
2012-12-12,0.42682197127,1.50309745377507,-4.02054828425822,-6.33174395614753,-2.41414631182041,-4.1884422010218,1.92775545610662
2012-12-13,-0.20257387978,1.60178774831208,-4.29394825192203,-6.6819350705977,-2.58136235719184,-4.45992569828675,1.72684045526326
2012-12-14,-0.81990049757,1.51384079832311,-4.05066890386581,-6.354672750252,-2.43239556106543,-4.20686417271399,1.12988578576508
2012-12-17,1.8740719934,1.47835093979173,-3.95250244836286,-6.20000545427757,-2.37218065920619,-4.11661992808439,1.44294565514507
2012-12-18,2.5762231151,1.4077582478863,-3.75803958145344,-5.98087843556017,-2.24262842439617,-3.99183302479876,2.70020951875972
2012-12-19,-0.92549923183,1.4202121213756,-3.79242858504597,-6.01900921511293,-2.26377101405987,-4.02473162541293,1.72543364300204
2012-12-20,1.3605178494,1.52849835823285,-4.09174373087943,-6.44993318527396,-2.4465061239038,-4.22558128412721,1.5613693071154
2012-12-21,-1.7514340344,1.4313034772279,-3.82170734196237,-6.07779157003628,-2.28123689821725,-4.05282790937628,1.91905050616802
2012-12-24,0.66168457106,1.40910437855566,-3.75998553410286,-5.98087843556017,-2.24357088376752,-3.99183302479876,1.07181461383669
2012-12-26,-3.8622689661,1.46938250504516,-3.92638396405158,-6.17918219961759,-2.3449697634546,-4.11076130514669,2.17106074306164
2012-12-27,-0.12926766285,1.37714764212294,-3.7502728217696,-5.92650074910413,-2.19988479987633,-3.92312522482136,3.64522102759125
2012-12-28,-1.2605211228,1.45798092000183,-3.97871369388245,-6.24245197306857,-2.33745584418841,-4.10413521292434,2.00043141718135
2012-12-31,2.3207439433,1.64809342818475,-4.51547651097958,-7.15373979143889,-2.66041432102513,-4.58323543555598,3.75279254671509
2013-01-02,2.5670666082,1.5284518659201,-4.177759461102,-6.5253337455914,-2.45712563432342,-4.23687416395993,2.38724905442002
2013-01-03,0.45470444202,1.72936111977757,-4.74462349819669,-7.42584068125077,-2.79782682651922,-4.6828340920518,1.34809943074255
2013-01-04,0.25920767548,1.66831293425471,-4.57288506631479,-7.19032662278028,-2.6946618024165,-4.59961416046422,1.2785375330089
2013-01-07,3.5922052864,1.55824404980089,-4.26183430813255,-6.62816694695955,-2.50764663012476,-4.33563853766367,2.27442834106344
2013-01-08,-0.77449385235,1.46694623557293,-4.00347983080997,-6.33174395614753,-2.35205199943325,-4.11577770635596,1.99892590858623
2013-01-09,-0.011262106636,1.56134068823676,-4.27052220478762,-6.62816694695955,-2.51279396654287,-4.34250800132368,1.73013666862283
2013-01-10,-0.37920030045,1.47447836008372,-4.02507863281194,-6.33174395614753,-2.36519078700927,-4.11577770635596,2.35656608265773
2013-01-11,0.97987487752,1.42542241052299,-3.88650361573109,-6.13781982824182,-2.28192555972248,-4.05221909486102,1.31207517991635
2013-01-14,1.7877136674,1.51880660738266,-4.14986785737967,-6.5253337455914,-2.44021791936045,-4.21184503117552,2.73249581529826
2013-01-15,-0.30433029015,1.42836442998891,-3.89379528722356,-6.15842683318991,-2.28590675542049,-4.0557758670407,1.42063389544053
2013-01-16,-1.0923133504,1.56620125901525,-4.28334211979393,-6.62816694695955,-2.52019671173528,-4.36877137438092,1.02776545452691
2013-01-17,0.57635816011,1.43189496353555,-3.90413994612247,-6.15842683318991,-2.29192898719927,-4.07674696287435,1.17285099177659
2013-01-18,0.60632948826,1.36631845308196,-3.72000412648609,-5.8908903934252,-2.1808953183934,-3.91366238963343,1.79773799920314
