"Date","Returns","Sigma2_GARCH","Sigma2_GAS","Sigma2_MSGARCH","RV_AMZN"
2003-01-02,3.5997899797,7.97041344904135,6.61986645578102,5.74478001802626,10.3026637928448
2003-01-03,4.8543729063,8.02460342166179,7.18108677923131,5.83565078039573,6.79526499343478
2003-01-06,0.87719445019,8.2494636520653,8.07729446244295,7.93009202363366,7.11956050118463
2003-01-07,4.1062726705,8.105585722957,7.70732213507291,5.64113808870435,11.7349480794393
2003-01-08,-2.4593911743,8.21963232006454,8.42092371460631,6.60366962718827,5.46679863043331
2003-01-09,2.0456721968,8.18109501727545,8.58379716825872,6.04161280898918,3.95216400898468
2003-01-10,-0.60606556399,8.09053156800308,8.53656707270913,5.82638952340305,8.50344454989824
2003-01-13,3.3771164681,7.95080476933712,8.10870833850358,5.68630472185602,6.00936995373347
2003-01-14,3.1760382328,7.98045969301308,8.58151974678862,6.15331128064472,7.03230360885787
2003-01-15,-2.0668395694,7.98826618457677,8.96833060058459,6.20350301970662,5.26269926711871
2003-01-16,-2.1104679437,7.92350953888661,8.95208954110301,5.98514862071346,9.59523003313375
2003-01-17,-1.8348606998,7.86355605769486,8.9535403784073,5.97976674253858,4.7820897048169
2003-01-21,-1.4953257032,7.78545142637796,8.85060176158834,5.93231256812969,10.1579309450667
2003-01-22,0.42694569693,7.68859099662501,8.63411088395074,5.8714411092963,7.86584723157633
2003-01-23,2.9286766037,7.55031983067622,8.16039705749082,5.75581490432978,9.37421223794847
2003-01-24,1.468562099,7.54417152059154,8.46802979693978,6.03653818919592,11.9213343248434
2003-01-27,-1.4925369273,7.4374475707732,8.22851580336556,5.81192222460287,10.799874359113
2003-01-28,-0.73461819266,7.34868326315336,8.04833115913721,5.80304518834579,6.98080476111936
2003-01-29,2.1276552572,7.23005216156655,7.67490669112173,5.7143404672101,5.19491646049978
2003-01-30,-1.1775372725,7.16738028112322,7.70619961706803,5.78936009479563,4.23344742753351
2003-01-31,0.13749169157,7.06938909585995,7.46126936853995,5.70352260819197,5.89266808407993
2003-02-03,1.4187618332,6.94444615642745,7.04407151545263,5.61124987257696,3.938791633396
2003-02-04,-0.49639264944,6.84976509704417,6.87483389080343,5.61178800505638,4.29735062947993
2003-02-05,0.54422151206,6.73689405472315,6.53366290345523,5.54185663616854,5.45586934642363
2003-02-06,-0.36084764752,6.62253001755817,6.20428681371653,5.48825928066541,5.59997232388745
2003-02-07,-2.9425061748,6.51244389787461,5.8872249784022,5.44441228723456,6.71196352197962
2003-02-10,-0.18657142982,6.56049237910856,6.29545858745994,5.88672598243823,8.1085063909169
2003-02-11,-2.8971913221,6.44943789197261,5.95755141725552,5.48686415835818,5.23756673158392
2003-02-12,1.6843044397,6.49432133149842,6.35140465477881,5.89378535290851,5.00228885672851
2003-02-13,-5.0638889604,6.42286106050979,6.30283838080107,5.59970591301769,8.54628538286559
2003-02-14,0,6.76825389783957,7.21771623780769,8.54103887456362,7.0043918282838
2003-02-18,6.6301094672,6.65079320695594,6.81530272623349,5.88614015052965,5.39010544998248
2003-02-19,-0.93501103938,7.24190389017411,7.9910298376431,12.092030944459,2.22383499735001
2003-02-20,0.80226555929,7.13238219904816,7.66520137463601,6.54885310724987,3.50462073448305
2003-02-21,1.9662924358,7.01323302156977,7.30629529006513,6.18474556262269,3.62037929935451
2003-02-24,0,6.94539095349664,7.29968131063534,6.20869530232847,4.02745253105237
