"Date","Return","Vol_GARCH","Vol_MSGARCH","Vol_GAS","VaR_GARCH_1","VaR_MSGARCH_1","VaR_GAS_1","ES_GARCH_1","ES_MSGARCH_1","ES_GAS_1","VaR_GARCH_5","VaR_MSGARCH_5","VaR_GAS_5","ES_GARCH_5","ES_MSGARCH_5","ES_GAS_5","RV_AMZN"
2012-12-06,-0.23232005042,1.9627344900979,2.25588560358201,1.90868537317445,-4.62577294266779,-5.06072624918581,-4.20471049281844,-7.30489814096912,-7.88563158945273,-6.5253337455914,-2.60511974018737,-2.87846244945811,-2.52140451779957,-4.50595622621811,-4.77385567066161,-4.36526082937595,2.19956799889636
2012-12-07,-0.040217863261,1.95066550985638,2.24277728351456,1.86280329458544,-4.59866077275981,-5.02566325900649,-4.10481379184241,-7.30489814096912,-7.83464227081964,-6.50002639653617,-2.58417003655482,-2.86494986264161,-2.45750081704239,-4.46749328044758,-4.73846316002419,-4.23189942001738,1.49643964635931
2012-12-10,-2.1708616284,1.9385973529511,2.23976848889357,1.81074792251664,-4.58921874037036,-5.02217528255731,-3.99389375135563,-7.19032662278028,-7.83464227081964,-6.30890560281569,-2.56292807936596,-2.8705662215434,-2.39093152742435,-4.42273214461575,-4.75603430460845,-4.14026207260034,1.82358939317116
2012-12-11,1.1785123299,1.95141487795989,2.28363007948358,1.87750841766154,-4.60808481433872,-5.11966243950013,-4.145928503021,-7.30489814096912,-8.10600850742745,-6.50002639653617,-2.58500281964011,-2.93765493530307,-2.48137171007733,-4.46749328044758,-4.87676023421,-4.29006003900842,2.70640283727327
2012-12-12,0.42682197127,1.94542437372194,2.24602585347932,1.86569857447915,-4.60311169632293,-5.03464428427289,-4.12598929221122,-7.30489814096912,-7.88563158945273,-6.50002639653617,-2.57325478761046,-2.88872738243264,-2.46923606785312,-4.4523976538236,-4.80109338743125,-4.27033797687935,1.92775545610662
2012-12-13,-0.20257387978,1.93223146148443,2.22980301147517,1.81834157195809,-4.56593401625057,-4.9978762567763,-4.01699010794231,-7.19032662278028,-7.78516512135965,-6.33174395614753,-2.5509501766721,-2.86414791522733,-2.40741783619546,-4.42273214461575,-4.73846316002419,-4.1882665233436,1.72684045526326
2012-12-14,-0.81990049757,1.91824114310517,2.22306153595303,1.77471149121932,-4.52241597771408,-4.98218518161556,-3.91722051474307,-7.15373979143889,-7.73703740896897,-6.17918219961759,-2.53080292654162,-2.85244395226005,-2.34592614351792,-4.37939524646808,-4.73846316002419,-4.11076130514669,1.12988578576508
2012-12-17,1.8740719934,1.90731834721948,2.21661847364204,1.75312416585521,-4.48347449848419,-4.94615350877226,-3.86643728880481,-7.04764242283067,-7.64485399365667,-6.07779157003628,-2.51888170598417,-2.84711751276634,-2.31471569859179,-4.36526082937595,-4.73846316002419,-4.09320254674328,1.44294565514507
2012-12-18,2.5762231151,1.91285142580266,2.2324026476401,1.79808182278917,-4.49769803622218,-5.00086870376758,-3.97293393200884,-7.08224166706351,-7.78516512135965,-6.22109500152547,-2.52272972463835,-2.87095083849657,-2.37882290808954,-4.36526082937595,-4.75603430460845,-4.12242224794333,2.70020951875972
2012-12-19,-0.92549923183,1.93390418976081,2.27772567812844,1.87888444125814,-4.54634106598957,-5.10522409763352,-4.16341035137632,-7.15373979143889,-8.10600850742745,-6.5253337455914,-2.55021998914243,-2.9361243442487,-2.49593691511454,-4.41539158305333,-4.87676023421,-4.32371615197388,1.72543364300204
