"Date","Returns","Sigma2_HAR","RV_AMZN"
2003-01-02,3.5997899797,NA,10.3026637928448
2003-01-03,4.8543729063,NA,6.79526499343478
2003-01-06,0.87719445019,NA,7.11956050118463
2003-01-07,4.1062726705,NA,11.7349480794393
2003-01-08,-2.4593911743,NA,5.46679863043331
2003-01-09,2.0456721968,NA,3.95216400898468
2003-01-10,-0.60606556399,NA,8.50344454989824
2003-01-13,3.3771164681,NA,6.00936995373347
2003-01-14,3.1760382328,NA,7.03230360885787
2003-01-15,-2.0668395694,NA,5.26269926711871
2003-01-16,-2.1104679437,NA,9.59523003313375
2003-01-17,-1.8348606998,NA,4.7820897048169
2003-01-21,-1.4953257032,NA,10.1579309450667
2003-01-22,0.42694569693,NA,7.86584723157633
2003-01-23,2.9286766037,NA,9.37421223794847
2003-01-24,1.468562099,NA,11.9213343248434
2003-01-27,-1.4925369273,NA,10.799874359113
2003-01-28,-0.73461819266,NA,6.98080476111936
2003-01-29,2.1276552572,NA,5.19491646049978
2003-01-30,-1.1775372725,NA,4.23344742753351
2003-01-31,0.13749169157,NA,5.89266808407993
2003-02-03,1.4187618332,NA,3.938791633396
2003-02-04,-0.49639264944,5.18668406060719,4.29735062947993
2003-02-05,0.54422151206,4.9531052359411,5.45586934642363
2003-02-06,-0.36084764752,5.2702262037049,5.59997232388745
2003-02-07,-2.9425061748,5.44673508417082,6.71196352197962
2003-02-10,-0.18657142982,5.79159169201128,8.1085063909169
2003-02-11,-2.8971913221,6.61638059503274,5.23756673158392
2003-02-12,1.6843044397,5.99114496368798,5.00228885672851
2003-02-13,-5.0638889604,5.86182236755544,8.54628538286559
2003-02-14,0,7.10271910876615,7.0043918282838
2003-02-18,6.6301094672,6.73977888693419,5.39010544998248
2003-02-19,-0.93501103938,6.03250103715568,2.22383499735001
2003-02-20,0.80226555929,4.85344672611716,3.50462073448305
2003-02-21,1.9662924358,5.01137938589929,3.62037929935451
2003-02-24,0,4.46932760686334,4.02745253105237
2003-02-25,0.4591298024,4.22863703064479,4.55813314112199
2003-02-26,-1.0968911349,4.24675940862733,2.35903941264381
2003-02-27,-0.092414745814,3.64439580985532,8.0275504398263
2003-02-28,1.8038823984,5.56976316671147,4.97269165711634
2003-03-03,-0.90868133057,4.92345889337957,5.7920802119114
2003-03-04,2.1091288541,5.32798048193841,3.44891245859492
2003-03-05,0.67355013671,4.60363277616206,4.33192192277209
2003-03-06,1.2042839289,5.0347603320134,5.53975712421335
2003-03-07,1.2340183899,5.08295773941354,4.09922176701374
2003-03-10,-0.39181608736,4.61847449490753,3.8141030309748
2003-03-11,-0.43705628404,4.32156286923859,2.29875704939371
2003-03-12,2.5460926525,3.79027234182287,4.71801819378409
2003-03-13,4.5376688282,4.43982698740362,4.40526636850975
2003-03-14,1.1875471222,4.21564871855062,6.11347741508976
2003-03-17,7.446378878,4.87625782435874,11.0070770003552
2003-03-18,0.86629550369,6.94298001485894,4.94568059251877
2003-03-19,-0.89619030987,5.65883714851418,2.90036266376662
2003-03-20,3.4287860439,4.91495329425514,5.38711429260552
2003-03-21,1.7486321636,5.65774003310929,6.65159800791022
2003-03-24,-6.0866478496,6.06483924382934,5.02088367928939
2003-03-25,2.5543274418,5.00667425170478,3.67374198510527
2003-03-26,3.1970283368,4.52427992350666,4.30412395401116
2003-03-27,0.036023878965,4.83946283495759,3.9900913442303
2003-03-28,-2.1245954011,4.6042962444377,4.88265357620078
2003-03-31,-4.2310507933,4.6550738674683,4.76630641872
2003-04-01,-1.8824424057,4.57913861860234,5.84118981125374
2003-04-02,3.288951508,5.094283515839,3.11016388143876
2003-04-03,1.0235044214,4.25071454309361,4.53504907002925
2003-04-04,-1.6135096111,4.68059644741074,3.29327866633199
2003-04-07,2.2883310343,4.18450942451557,3.38115297018378
2003-04-08,-1.1185654007,4.04441990640751,2.61311293057763
2003-04-09,-5.5052826796,3.48918658246697,8.65301216776789
2003-04-10,2.4341605082,5.66352319060719,7.22335783160049
2003-04-11,0.31164753982,5.61743126641952,5.05863143180898
2003-04-14,-2.7184495648,5.25705068271945,3.58162010218851
2003-04-15,0.31936098258,4.89620847653774,4.81219005973456
2003-04-16,-2.9844807999,5.44228270854163,6.6443868948609
2003-04-17,2.5020534509,5.66831584232087,2.76853249230335
2003-04-21,1.0404170918,4.18086959619489,8.2445148834764
2003-04-22,1.306930391,5.95804510012873,4.37920417728793
2003-04-23,-0.58639413219,5.04987150926021,6.83235332859841
2003-04-24,-1.2190305239,5.89777060088679,6.83891633929111
2003-04-25,15.326426534,5.93089476058738,6.49817230357273
2003-04-28,0.48326303186,6.26446505902914,2.79433266263138
2003-04-29,-0.75575821402,4.71682146553001,4.384869318483
2003-04-30,-0.69227711947,5.1266389830864,3.83483338226639
2003-05-01,-0.1045684422,4.6546938927462,2.94254084309873
2003-05-02,2.6866729304,3.99323365659701,3.9352519248638
2003-05-05,1.8008792858,3.95829748148057,4.9777420786389
2003-05-06,3.0707613631,4.47256671040701,4.43449269186505
2003-05-07,-0.58289638182,4.33838251251399,4.28333347554032
2003-05-08,-0.81433222731,4.35400156409255,2.55239149360124
2003-05-09,1.6912951616,3.86407258914429,2.46765356838602
2003-05-12,2.3736496261,3.68231858506432,4.49598816488067
2003-05-13,3.9432175707,4.12538262889491,6.32143429644277
2003-05-14,-1.0622223997,4.79206477459141,3.31490574543546
2003-05-15,0.092032501198,3.9078114717665,3.26358243599523
2003-05-16,1.2871534023,3.97004116785894,4.9956213568561
2003-05-19,-4.5083201378,4.6885513399791,3.00119198688702
2003-05-20,-0.25348518711,3.99534088509194,4.64381913024365
2003-05-21,0.8576888873,4.24425541015914,5.7417303577622
2003-05-22,3.9370078741,4.77426815912942,5.86916993834422
2003-05-23,-0.84848114939,5.09807309460182,3.04601317877223
2003-05-27,6.5097713141,4.14265814476388,10.5523053822554
2003-05-28,0.028700535586,6.90370198000654,4.34099320495197
2003-05-29,1.9793419811,5.26933786008779,4.48234180858874
2003-05-30,0.95639988722,5.17844797119287,5.03768326694509
2003-06-02,-1.3652768796,5.23402791865674,4.84463728892006
2003-06-03,-0.4802315716,5.38554087106865,5.42217693812038
2003-06-04,0.45415796048,4.9907517387612,4.91002993724857
2003-06-05,0.36733843008,4.92699996181254,4.86904729373812
2003-06-06,-6.1092397402,4.95785655735976,14.6518932744804
2003-06-09,0.98951078307,8.56222684925856,17.8897250444285
2003-06-10,1.1579554221,10.8835213616583,8.73465005627618
2003-06-11,1.7023828477,8.93566392646583,5.82546942613472
2003-06-12,1.5901837331,8.30973877449706,4.31317768963211
2003-06-13,-3.0425247551,7.86144495992211,5.97402108547037
2003-06-16,5.0102520685,7.34280070648371,4.9302999734822
2003-06-17,0,5.67873939331689,7.84295985658481
2003-06-18,0.027897102336,6.35326112114515,9.96282565068978
2003-06-19,-0.97628588292,7.3728321885106,6.16027403813788
2003-06-20,-1.2957720689,6.6182891695325,5.00884666583589
2003-06-23,1.5410984628,6.22102907750866,4.86440893424834
2003-06-24,-0.5059030239,6.17193495556704,6.10078624566319
2003-06-25,-0.028254620975,6.30055482570219,5.6548353602371
2003-06-26,3.7581290026,5.73383602241762,5.25395474677238
2003-06-27,-1.1437962137,5.50279779176191,4.9805826285301
2003-06-30,0.05509768107,5.43342192554937,2.68939676384871
2003-07-01,2.5605735489,4.600994208233,3.93890499462157
2003-07-02,1.6107341586,4.67986790109226,3.43143828546826
2003-07-03,-0.44913652782,4.3007354816799,3.48247977797358
2003-07-07,3.6358782398,4.11054764527088,2.55540630280541
2003-07-08,3.7387941435,3.59680635963511,7.79669203431012
2003-07-09,-0.024681120703,5.50868003233187,3.43084972089566
2003-07-10,-5.5555555555,4.27269746099423,4.04217405184737
2003-07-11,-1.5686234618,4.41664720134692,7.91170523570256
2003-07-14,4.3027846175,5.88263982749787,5.97822355131394
2003-07-15,-2.1390374332,5.76020554458505,6.17251941830857
2003-07-16,-1.9516003123,5.64425514319743,5.34287221087713
2003-07-17,-3.6093418258,5.63586036729411,6.18382964880751
2003-07-18,-3.6899779737,6.09054302158495,7.92205904920598
2003-07-21,1.0011492348,6.53686339338208,7.51288525827387
2003-07-22,-1.3020096237,6.58476400569747,10.2095958722674
2003-07-23,15.027244049,7.73582781118844,12.7223923430349
2003-07-24,2.9917726253,9.22334989965797,9.10183109848165
2003-07-25,0.70200919872,8.63770401881651,6.41590460150162
2003-07-28,1.153846154,7.78883936686636,4.82406557118505
2003-07-29,-1.6397338403,7.08506673010322,7.86724072173834
2003-07-30,-1.7637110414,7.62439523832317,4.62511512609328
2003-07-31,2.4102311856,5.91421988893073,4.25029866003129
2003-08-01,-3.8664745438,5.30076490844371,4.76665416943964
2003-08-04,-0.94928803392,5.25863081156049,5.24818392085485
