Date,Return,mu,q01,q05,RV_hat,VaR_1,ES_1,VaR_5,ES_5,hit_1,hit_5
2012-12-20,-0.87017157175,0.202276562392965,-3.20029108283554,-2.0483970957088,4.48865509033203,-6.57800297138805,-8.01208296468647,-4.13754895522372,-5.61115190098698,0,0
2012-12-21,-0.46004620781,0.202976875314988,-3.20081453202253,-2.04889229832704,3.95093679428101,-6.15927049866995,-7.50462615314213,-3.86959887507448,-5.25207989640061,0,0
2012-12-24,0.16136175436,0.201829912334413,-3.19995723406214,-2.04808126221283,3.40341544151306,-5.70156255350227,-6.95035631750599,-3.57654167465716,-4.8597237405833,0,0
2012-12-26,-1.3781124559,0.200613761793085,-3.19904822183048,-2.04722130245299,3.09461760520935,-5.4269999943234,-6.6179284880673,-3.40076076106637,-4.6244108943626,0,0
2012-12-27,0.40165731152,0.199093784407043,-3.19791211409644,-2.04614650180665,2.92246413230896,-5.26780607895131,-6.42529797213102,-3.29883787601275,-4.48804380029156,0,0
2012-12-28,-1.0621675144,0.200898850673624,-3.19926131163369,-2.0474228934213,2.6184983253479,-4.97607372537627,-6.0715345870701,-3.11219474761274,-4.23776999077978,0,0
2012-12-31,4.4317461987,0.200359230052936,-3.19885797197466,-2.04704131893393,2.50399446487427,-4.86151838030328,-5.93281347647891,-3.03888199621173,-4.139597934,0,0
2013-01-02,3.16759835,0.201301550378842,-3.19956230969708,-2.04770764891005,3.63326406478882,-5.89742349302144,-7.18776001078766,-3.70185916698578,-5.02769349300043,0,0
2013-01-03,-1.2629728794,0.202740356354457,-3.20063774582638,-2.04872505193641,3.89890098571777,-6.11712208911294,-7.45361817766233,-3.84259733726765,-5.21595832708164,0,0
2013-01-04,-2.78472868,0.202645597011456,-3.20056691791575,-2.04865804606906,3.29432415962219,-5.6064707872751,-6.83499457271102,-3.51572471876068,-4.77812929245476,0,0
2013-01-07,-0.58823529398,0.201581106341448,-3.19977126391846,-2.04790532746242,3.49639105796814,-5.78155571404539,-7.0473212146157,-3.62772316536508,-4.92832840107074,0,0
2013-01-08,0.26913533093,0.202125020807989,-3.20017781301436,-2.04828993819779,2.7558228969574,-5.11038499683005,-6.23407627949684,-3.19817379116747,-4.35282516714967,0,0
2013-01-09,-1.5628866764,0.201664724081975,-3.19983376403365,-2.04796445492207,2.40279078483582,-4.75837775048725,-5.80767338746148,-2.97287227749542,-4.05105383089679,0,0
2013-01-10,1.2396054921,0.200923922775555,-3.19928005178678,-2.04744062231096,2.43016791343689,-4.78643241950741,-5.84176135898817,-2.99083041189964,-4.07517183780433,0,0
2013-01-11,-0.61316880283,0.201003254078411,-3.19933934800234,-2.04749671876106,2.38058972358704,-4.73530855372753,-5.77980938657251,-2.95811215378696,-4.03133198153029,0,0
2013-01-14,-3.5652508169,0.200396956864296,-3.19888617089562,-2.04706799617374,2.21003484725952,-4.55512670835694,-5.56157270580764,-2.84281239165581,-3.87690020721312,0,1
2013-01-15,-3.1549576483,0.197317619396034,-3.19658451881479,-2.04848147473762,3.05434656143189,-5.38925370969397,-6.57276932400167,-3.38274973298679,-4.59909307070602,0,0
2013-01-16,4.1508890352,0.197154921861078,-3.19646291047412,-2.04838944368354,3.64457750320435,-5.90514100425459,-7.19798158911167,-3.71337959938394,-5.04202593515405,0,0
2013-01-17,-0.67379319871,0.199041329361593,-3.19787290655075,-2.04945650392352,4.52934741973877,-6.6067560715189,-8.0477537832204,-4.16266601649568,-5.64427550383525,0,0
2013-01-18,-0.53314235702,0.198143903531702,-3.19720212523819,-2.04894886841998,3.52557182312012,-5.80508462563249,-7.0765260909251,-3.64906619451024,-4.95604580463799,0,0
2013-01-22,0.95400000009,0.19862668348998,-3.19756297932028,-2.0492219564447,2.8877329826355,-5.23509792460892,-6.38574112910581,-3.28368401506494,-4.46663254469558,0,0
2013-01-23,1.8295461297,0.198246315006508,-3.19727867273794,-2.04900679822192,2.59723949432373,-4.95447304943984,-6.04574618911862,-3.1039234636569,-4.22572774438236,0,0
2013-01-24,-12.354938181,0.200374874809847,-3.19886966565477,-2.05021083368825,2.66971349716187,-5.02634078047719,-6.13251653077146,-3.14951748752373,-4.28725016828237,1,1
2013-01-25,-2.3573806881,0.194406373428552,-3.19679740274048,-2.04793180362565,6.97766733169556,-8.25002175587384,-10.5068330660306,-5.2152617258399,-7.16899393971655,0,0
2013-01-28,2.2619805401,0.193052066981569,-3.19607254161719,-2.04704624613668,4.97258138656616,-6.93396137617036,-8.83865856535595,-4.37171482269227,-6.02096143965758,0,0
2013-01-29,1.8762643665,0.194926719288809,-3.19707590579687,-2.04840308164168,4.28079986572266,-6.41985335793044,-8.18769340213881,-4.04323849599113,-5.57327754814604,0,0
2013-01-30,-0.31422523844,0.195928566990072,-3.19761212154902,-2.04893711105562,3.74727177619934,-5.99396779451165,-7.6482737997071,-3.77037750346764,-5.20217762678617,0,0
2013-01-31,-0.29332574477,0.19563640710644,-3.19745574974565,-2.04878178991794,2.99231719970703,-5.33542343623266,-6.81364452558308,-3.34841097709301,-4.62780306135206,0,0
2013-02-01,-0.41054688363,0.195683497742924,-3.19748095391693,-2.04880682474183,2.74096274375916,-5.09801902277726,-6.51280517360006,-3.19629099984045,-4.4207815375562,0,0
2013-02-04,-2.4919536176,0.195601237800245,-3.19743692618998,-2.04876309283818,2.66087579727173,-5.02011899141514,-6.41406243025697,-3.14638027891382,-4.35282976431621,0,0
2013-02-05,3.5106123225,0.195041791036609,-3.1971374952817,-2.04846567381296,3.13314890861511,-5.46411637201325,-6.97656263585701,-3.43088648286285,-4.73988625201118,0,0
2013-02-06,-0.10789701291,0.19684584036609,-3.19810307085461,-2.0494247616617,3.89318537712097,-6.11338138621922,-7.79986436348841,-3.84690623496021,-5.30657958800039,0,0
2013-02-07,2.9733890477,0.196830704390524,-3.19809496967465,-2.04941671491375,3.13238167762756,-5.46332911149863,-6.97607361423248,-3.43033679556226,-4.73963684129492,0,0
2013-02-08,1.443765751,0.196612367588995,-3.19797810996423,-2.04930064038638,3.57216453552246,-5.84762085872383,-7.46300953321592,-3.6766008300667,-5.07473524909587,0,0
2013-02-11,1.0421491432,0.197029165936071,-3.19820119161516,-2.04952222314663,3.35495495796204,-5.66096760173966,-7.22658986982816,-3.55698561898408,-4.91205689694148,0,0
2013-02-12,-2.5066155482,0.196822403583255,-3.19809052686003,-2.0494123019505,2.92512226104736,-5.2728682446244,-6.73470747778638,-3.30828516236996,-4.57352584612049,0,0
2013-02-13,-0.19021158369,0.195840910513074,-3.1975652054522,-2.04889051018913,3.14805865287781,-5.47752529141542,-6.99378242150117,-3.43945827029444,-4.75177516564966,0,0
2013-02-14,-0.089933834352,0.195898482122559,-3.19759601932126,-2.0489211170191,2.51068186759949,-4.87073440346105,-6.22483758602747,-3.05064393559637,-4.2226181942116,0,0
2013-02-15,-1.3780835423,0.195969932018942,-3.19763426122159,-2.04895910197123,2.27266001701355,-4.62457376823864,-5.91290844280065,-2.89290643225904,-4.00795958049353,0,0
2013-02-19,-0.036943671694,0.195172785477393,-3.19720760701874,-2.04853531446765,2.32342314720154,-4.67826014388683,-5.98071823281642,-2.92736434241379,-4.05462512475067,0,0
2013-02-20,-2.4217917781,0.196847386077275,-3.19810389816069,-2.04821548381157,2.0942702293396,-4.4313186221927,-5.6682508347374,-2.76724683401384,-3.83296043794194,0,0
2013-02-21,-0.62158850396,0.195369347656036,-3.19731281236715,-2.04737942053677,2.57509613037109,-4.93539243440629,-6.30662645158187,-3.09008212385445,-4.27155668579411,0,0
2013-02-22,1.0648791642,0.19550636018851,-3.19738614514824,-2.04745692268079,2.46383595466614,-4.82330627908016,-6.16462313463584,-3.01830711601647,-4.17400014238314,0,0
2013-02-25,-1.7768017568,0.195711392234753,-3.19749588379689,-2.04757290056172,2.42163729667664,-4.78010724508007,-6.10993669547777,-2.99064185735178,-4.13643055477638,0,0
2013-02-26,1.3934056007,0.194774583651148,-3.1969944787244,-2.04704298791465,2.49496221542358,-4.85502186634522,-6.20460823833986,-3.03862180853965,-4.20146405608031,0,0
2013-02-27,-0.98002093682,0.196522238898091,-3.19792987067225,-2.04803156192462,2.42757105827332,-4.78606499759291,-6.11771559824462,-2.99444702342385,-4.14177847594331,0,0
2013-02-28,-0.71304856383,0.196071128623799,-3.19768842435788,-2.04777638808895,2.35591173171997,-4.71205429408444,-6.02379748818333,-2.94705666138885,-4.07725061627327,0,0
2013-03-01,-2.4762120524,0.194534363940883,-3.19686590669448,-2.04690710587346,2.15898418426514,-4.50277485764141,-5.75815363956912,-2.81308494345869,-3.89476260035607,0,0
2013-03-04,-2.420610031,0.193924023789535,-3.19653923628049,-2.04640137779741,2.51847505569458,-4.87888913188179,-6.23461382626745,-3.05365439265875,-4.22206844596926,0,0
2013-03-05,2.6411141531,0.193089419104576,-3.19609253347494,-2.04559324147824,2.81551861763001,-5.16979634756107,-6.60303031539237,-3.23931523257918,-4.47512278533331,0,0
2013-03-06,-1.271500937,0.193928495796394,-3.19654162981847,-2.04640570798058,3.17690634727478,-5.50354837704531,-7.02621642045193,-3.45356011655518,-4.76584879215915,0,0
2013-03-07,1.1558466576,0.193528073935617,-3.19632731330211,-2.04601798496091,3.1630322933197,-5.49111313357563,-7.01034393559527,-3.44529768092805,-4.75492563553598,0,0
2013-03-08,0.26429344471,0.194716793253276,-3.19696354775393,-2.04701029835219,2.92722225189209,-5.27500872790098,-6.73682254129229,-3.30753911417765,-4.56708180077628,0,0
2013-03-11,1.4245344204,0.194312848085823,-3.19674734546937,-2.04677787105376,2.49765491485596,-4.85781730639751,-6.20802033463909,-3.04040891262361,-4.20380393159275,0,0
2013-03-12,-2.1558910178,0.198160996693144,-3.19721490152887,-2.04548691249498,2.52235388755798,-4.8796301912747,-6.15415226457001,-3.05046499163309,-4.19398725643406,0,0
2013-03-13,-0.018672828628,0.196135783577657,-3.19570115513718,-2.0440548514752,2.77079844474793,-5.12333744125723,-6.45935651743095,-3.20633976863005,-4.4049545541997,0,0
2013-03-14,0.96883389742,0.196691069352706,-3.19611620372239,-2.04444750304713,2.35859823226929,-4.71181740665218,-5.94440878234842,-2.94311588940751,-4.04896125218246,0,0
